Entity,Code,Day,daily_vaccinations
AS,ASM,2021-04-28,245
AS,ASM,2021-04-29,321
AS,ASM,2021-04-30,216
AS,ASM,2021-05-01,216
AS,ASM,2021-05-02,165
AS,ASM,2021-05-03,165
AS,ASM,2021-05-04,188
AS,ASM,2021-05-05,209
AS,ASM,2021-05-06,133
AS,ASM,2021-05-07,132
AS,ASM,2021-05-08,132
AS,ASM,2021-05-09,132
AS,ASM,2021-05-10,132
AS,ASM,2021-05-11,77
AS,ASM,2021-05-12,57
AS,ASM,2021-05-13,118
AS,ASM,2021-05-14,61
AS,ASM,2021-05-15,123
AZ,,2021-01-13,13390
AZ,,2021-01-14,16155
AZ,,2021-01-15,18577
AZ,,2021-01-16,18257
AZ,,2021-01-17,18065
AZ,,2021-01-18,17937
AZ,,2021-01-19,17846
AZ,,2021-01-20,18163
AZ,,2021-01-21,18605
AZ,,2021-01-22,18895
AZ,,2021-01-23,20939
AZ,,2021-01-24,22706
AZ,,2021-01-25,23526
AZ,,2021-01-26,23517
AZ,,2021-01-27,25196
AZ,,2021-01-28,26179
AZ,,2021-01-29,27393
AZ,,2021-01-30,28059
AZ,,2021-01-31,29069
AZ,,2021-02-01,29564
AZ,,2021-02-02,28681
AZ,,2021-02-03,28255
AZ,,2021-02-04,28424
AZ,,2021-02-05,28337
AZ,,2021-02-06,29917
AZ,,2021-02-07,30732
AZ,,2021-02-08,31487
AZ,,2021-02-09,33164
AZ,,2021-02-10,34531
AZ,,2021-02-11,36494
AZ,,2021-02-12,38691
AZ,,2021-02-13,39176
AZ,,2021-02-14,39989
AZ,,2021-02-15,40122
AZ,,2021-02-16,41539
AZ,,2021-02-17,38163
AZ,,2021-02-18,37314
AZ,,2021-02-19,55158
AZ,,2021-02-20,54896
AZ,,2021-02-21,54360
AZ,,2021-02-22,54958
AZ,,2021-02-23,53030
AZ,,2021-02-24,55863
AZ,,2021-02-25,57825
AZ,,2021-02-26,42127
AZ,,2021-02-27,43278
AZ,,2021-02-28,46110
AZ,,2021-03-01,48955
AZ,,2021-03-02,51993
AZ,,2021-03-03,53580
AZ,,2021-03-04,53198
AZ,,2021-03-05,52476
AZ,,2021-03-06,45071
AZ,,2021-03-07,52879
AZ,,2021-03-08,52280
AZ,,2021-03-09,50873
AZ,,2021-03-10,51794
AZ,,2021-03-11,52921
AZ,,2021-03-12,54235
AZ,,2021-03-13,62981
AZ,,2021-03-14,56433
AZ,,2021-03-15,55772
AZ,,2021-03-16,58490
AZ,,2021-03-17,57709
AZ,,2021-03-18,57866
AZ,,2021-03-19,48949
AZ,,2021-03-20,48762
AZ,,2021-03-21,47913
AZ,,2021-03-22,48184
AZ,,2021-03-23,45042
AZ,,2021-03-24,44646
AZ,,2021-03-25,50166
AZ,,2021-03-26,58308
AZ,,2021-03-27,59086
AZ,,2021-03-28,59378
AZ,,2021-03-29,60022
AZ,,2021-03-30,61260
AZ,,2021-03-31,63074
AZ,,2021-04-01,57997
AZ,,2021-04-02,58912
AZ,,2021-04-03,59149
AZ,,2021-04-04,58794
AZ,,2021-04-05,58482
AZ,,2021-04-06,58525
AZ,,2021-04-07,57644
AZ,,2021-04-08,55514
AZ,,2021-04-09,56308
AZ,,2021-04-10,57204
AZ,,2021-04-11,57826
AZ,,2021-04-12,56643
AZ,,2021-04-13,56417
AZ,,2021-04-14,56531
AZ,,2021-04-15,57918
AZ,,2021-04-16,55841
AZ,,2021-04-17,55226
AZ,,2021-04-18,54391
AZ,,2021-04-19,54470
AZ,,2021-04-20,53921
AZ,,2021-04-21,54448
AZ,,2021-04-22,54571
AZ,,2021-04-23,54802
AZ,,2021-04-24,53506
AZ,,2021-04-25,52397
AZ,,2021-04-26,51720
AZ,,2021-04-27,51362
AZ,,2021-04-28,49861
AZ,,2021-04-29,47964
AZ,,2021-04-30,45756
AZ,,2021-05-01,44097
AZ,,2021-05-02,41448
AZ,,2021-05-03,37787
AZ,,2021-05-04,36127
AZ,,2021-05-05,33654
AZ,,2021-05-06,33626
AZ,,2021-05-07,32954
AZ,,2021-05-08,30521
AZ,,2021-05-09,29993
AZ,,2021-05-10,33564
AZ,,2021-05-11,36667
AZ,,2021-05-12,36376
AZ,,2021-05-13,33915
AZ,,2021-05-14,31473
AZ,,2021-05-15,31519
AR,,2021-01-13,53975
AR,,2021-01-14,33718
AR,,2021-01-15,25820
AR,,2021-01-16,20865
AR,,2021-01-17,17892
AR,,2021-01-18,15910
AR,,2021-01-19,14494
AR,,2021-01-20,11208
AR,,2021-01-21,9285
AR,,2021-01-22,11905
AR,,2021-01-23,11048
AR,,2021-01-24,11986
AR,,2021-01-25,12108
AR,,2021-01-26,13422
AR,,2021-01-27,11359
AR,,2021-01-28,11359
AR,,2021-01-29,9760
AR,,2021-01-30,12425
AR,,2021-01-31,12793
AR,,2021-02-01,12876
AR,,2021-02-02,11169
AR,,2021-02-03,9946
AR,,2021-02-04,12200
AR,,2021-02-05,11597
AR,,2021-02-06,12289
AR,,2021-02-07,12807
AR,,2021-02-08,12919
AR,,2021-02-09,12808
AR,,2021-02-10,13658
AR,,2021-02-11,13225
AR,,2021-02-12,13710
AR,,2021-02-13,11816
AR,,2021-02-14,11299
AR,,2021-02-15,10903
AR,,2021-02-16,11330
AR,,2021-02-17,9842
AR,,2021-02-18,8562
AR,,2021-02-19,10018
AR,,2021-02-20,9074
AR,,2021-02-21,7990
AR,,2021-02-22,8204
AR,,2021-02-23,8108
AR,,2021-02-24,9645
AR,,2021-02-25,11688
AR,,2021-02-26,11531
AR,,2021-02-27,14537
AR,,2021-02-28,17263
AR,,2021-03-01,18023
AR,,2021-03-02,18660
AR,,2021-03-03,18995
AR,,2021-03-04,18831
AR,,2021-03-05,17967
AR,,2021-03-06,17353
AR,,2021-03-07,16564
AR,,2021-03-08,15969
AR,,2021-03-09,15991
AR,,2021-03-10,15964
AR,,2021-03-11,13675
AR,,2021-03-12,16122
AR,,2021-03-13,19784
AR,,2021-03-14,16767
AR,,2021-03-15,17033
AR,,2021-03-16,16330
AR,,2021-03-17,16211
AR,,2021-03-18,18539
AR,,2021-03-19,16616
AR,,2021-03-20,13192
AR,,2021-03-21,16694
AR,,2021-03-22,16570
AR,,2021-03-23,16479
AR,,2021-03-24,17120
AR,,2021-03-25,18064
AR,,2021-03-26,19037
AR,,2021-03-27,19925
AR,,2021-03-28,20629
AR,,2021-03-29,20738
AR,,2021-03-30,20956
AR,,2021-03-31,21542
AR,,2021-04-01,21951
AR,,2021-04-02,22557
AR,,2021-04-03,27298
AR,,2021-04-04,23274
AR,,2021-04-05,23189
AR,,2021-04-06,23719
AR,,2021-04-07,23990
AR,,2021-04-08,24232
AR,,2021-04-09,23095
AR,,2021-04-10,19233
AR,,2021-04-11,23211
AR,,2021-04-12,23244
AR,,2021-04-13,22724
AR,,2021-04-14,22439
AR,,2021-04-15,22221
AR,,2021-04-16,22285
AR,,2021-04-17,20800
AR,,2021-04-18,20359
AR,,2021-04-19,19942
AR,,2021-04-20,20109
AR,,2021-04-21,19587
AR,,2021-04-22,18842
AR,,2021-04-23,18072
AR,,2021-04-24,17377
AR,,2021-04-25,16135
AR,,2021-04-26,16576
AR,,2021-04-27,16081
AR,,2021-04-28,15427
AR,,2021-04-29,15008
AR,,2021-04-30,14151
AR,,2021-05-01,13769
AR,,2021-05-02,14201
AR,,2021-05-03,13644
AR,,2021-05-04,13845
AR,,2021-05-05,13162
AR,,2021-05-06,12634
AR,,2021-05-07,12152
AR,,2021-05-08,11696
AR,,2021-05-09,10835
AR,,2021-05-10,10766
AR,,2021-05-11,10776
AR,,2021-05-12,10532
AR,,2021-05-13,9737
AR,,2021-05-14,9520
AR,,2021-05-15,9848
